Recorded_Data,Week,Levels
Inflation rate searches in Lebanon,23-02-2020,0
Inflation rate searches in Lebanon,01-03-2020,0
Inflation rate searches in Lebanon,08-03-2020,0
Inflation rate searches in Lebanon,15-03-2020,0
Inflation rate searches in Lebanon,22-03-2020,0
Inflation rate searches in Lebanon,29-03-2020,0
Inflation rate searches in Lebanon,05-04-2020,0
Inflation rate searches in Lebanon,12-04-2020,0
Inflation rate searches in Lebanon,19-04-2020,0
Inflation rate searches in Lebanon,26-04-2020,75
Inflation rate searches in Lebanon,03-05-2020,0
Inflation rate searches in Lebanon,10-05-2020,79
Inflation rate searches in Lebanon,17-05-2020,72
Inflation rate searches in Lebanon,24-05-2020,0
Inflation rate searches in Lebanon,31-05-2020,0
Inflation rate searches in Lebanon,07-06-2020,0
Inflation rate searches in Lebanon,14-06-2020,0
Inflation rate searches in Lebanon,21-06-2020,0
Inflation rate searches in Lebanon,28-06-2020,0
Inflation rate searches in Lebanon,05-07-2020,0
Inflation rate searches in Lebanon,12-07-2020,0
Inflation rate searches in Lebanon,19-07-2020,0
Inflation rate searches in Lebanon,26-07-2020,0
Inflation rate searches in Lebanon,02-08-2020,0
Inflation rate searches in Lebanon,09-08-2020,0
Inflation rate searches in Lebanon,16-08-2020,38
Inflation rate searches in Lebanon,23-08-2020,0
Inflation rate searches in Lebanon,30-08-2020,0
Inflation rate searches in Lebanon,06-09-2020,0
Inflation rate searches in Lebanon,13-09-2020,0
Inflation rate searches in Lebanon,20-09-2020,0
Inflation rate searches in Lebanon,27-09-2020,0
Inflation rate searches in Lebanon,04-10-2020,0
Inflation rate searches in Lebanon,11-10-2020,0
Inflation rate searches in Lebanon,18-10-2020,0
Inflation rate searches in Lebanon,25-10-2020,0
Inflation rate searches in Lebanon,01-11-2020,0
Inflation rate searches in Lebanon,08-11-2020,0
Inflation rate searches in Lebanon,15-11-2020,0
Inflation rate searches in Lebanon,22-11-2020,0
Inflation rate searches in Lebanon,29-11-2020,0
Inflation rate searches in Lebanon,06-12-2020,0
Inflation rate searches in Lebanon,13-12-2020,0
Inflation rate searches in Lebanon,20-12-2020,47
Inflation rate searches in Lebanon,27-12-2020,0
Inflation rate searches in Lebanon,03-01-2021,0
Inflation rate searches in Lebanon,10-01-2021,0
Inflation rate searches in Lebanon,17-01-2021,37
Inflation rate searches in Lebanon,24-01-2021,31
Inflation rate searches in Lebanon,31-01-2021,0
Inflation rate searches in Lebanon,07-02-2021,0
Inflation rate searches in Lebanon,14-02-2021,0
Inflation rate searches in Lebanon,21-02-2021,0
Inflation rate searches in Lebanon,28-02-2021,0
Inflation rate searches in Lebanon,07-03-2021,0
Inflation rate searches in Lebanon,14-03-2021,0
Inflation rate searches in Lebanon,21-03-2021,0
Inflation rate searches in Lebanon,28-03-2021,0
Inflation rate searches in Lebanon,04-04-2021,0
Inflation rate searches in Lebanon,11-04-2021,0
Inflation rate searches in Lebanon,18-04-2021,0
Inflation rate searches in Lebanon,25-04-2021,29
Inflation rate searches in Lebanon,02-05-2021,0
Inflation rate searches in Lebanon,09-05-2021,0
Inflation rate searches in Lebanon,16-05-2021,0
Inflation rate searches in Lebanon,23-05-2021,0
Inflation rate searches in Lebanon,30-05-2021,0
Inflation rate searches in Lebanon,06-06-2021,0
Inflation rate searches in Lebanon,13-06-2021,0
Inflation rate searches in Lebanon,20-06-2021,0
Inflation rate searches in Lebanon,27-06-2021,0
Inflation rate searches in Lebanon,04-07-2021,0
Inflation rate searches in Lebanon,11-07-2021,0
Inflation rate searches in Lebanon,18-07-2021,0
Inflation rate searches in Lebanon,25-07-2021,0
Inflation rate searches in Lebanon,01-08-2021,0
Inflation rate searches in Lebanon,08-08-2021,0
Inflation rate searches in Lebanon,15-08-2021,0
Inflation rate searches in Lebanon,22-08-2021,0
Inflation rate searches in Lebanon,29-08-2021,0
Inflation rate searches in Lebanon,05-09-2021,0
Inflation rate searches in Lebanon,12-09-2021,100
Inflation rate searches in Lebanon,19-09-2021,0
Inflation rate searches in Lebanon,26-09-2021,0
Inflation rate searches in Lebanon,03-10-2021,0
Inflation rate searches in Lebanon,10-10-2021,0
Inflation rate searches in Lebanon,17-10-2021,0
Inflation rate searches in Lebanon,24-10-2021,0
Inflation rate searches in Lebanon,31-10-2021,0
Inflation rate searches in Lebanon,07-11-2021,0
Inflation rate searches in Lebanon,14-11-2021,0
Inflation rate searches in Lebanon,21-11-2021,0
Inflation rate searches in Lebanon,28-11-2021,0
Inflation rate searches in Lebanon,05-12-2021,0
Inflation rate searches in Lebanon,12-12-2021,0
Inflation rate searches in Lebanon,19-12-2021,45
Inflation rate searches in Lebanon,26-12-2021,0
Inflation rate searches in Lebanon,02-01-2022,0
Inflation rate searches in Lebanon,09-01-2022,0
Inflation rate searches in Lebanon,16-01-2022,0
Inflation rate searches in Lebanon,23-01-2022,0
Inflation rate searches in Lebanon,30-01-2022,0
Inflation rate searches in Lebanon,06-02-2022,0
Inflation rate searches in Lebanon,13-02-2022,0
Inflation rate searches in Lebanon,20-02-2022,0
Inflation rate searches in Lebanon,27-02-2022,96
Inflation rate searches in Lebanon,06-03-2022,39
Inflation rate searches in Lebanon,13-03-2022,0
Inflation rate searches in Lebanon,20-03-2022,0
Inflation rate searches in Lebanon,27-03-2022,0
Inflation rate searches in Lebanon,03-04-2022,35
Inflation rate searches in Lebanon,10-04-2022,0
Inflation rate searches in Lebanon,17-04-2022,0
Inflation rate searches in Lebanon,24-04-2022,46
Inflation rate searches in Lebanon,01-05-2022,0
Inflation rate searches in Lebanon,08-05-2022,0
Inflation rate searches in Lebanon,15-05-2022,0
Inflation rate searches in Lebanon,22-05-2022,0
Inflation rate searches in Lebanon,29-05-2022,0
Inflation rate searches in Lebanon,05-06-2022,0
Inflation rate searches in Lebanon,12-06-2022,0
Inflation rate searches in Lebanon,19-06-2022,0
Inflation rate searches in Lebanon,26-06-2022,0
Inflation rate searches in Lebanon,03-07-2022,0
Inflation rate searches in Lebanon,10-07-2022,0
Inflation rate searches in Lebanon,17-07-2022,0
Inflation rate searches in Lebanon,24-07-2022,0
Inflation rate searches in Lebanon,31-07-2022,0
Inflation rate searches in Lebanon,07-08-2022,0
Inflation rate searches in Lebanon,14-08-2022,0
Inflation rate searches in Lebanon,21-08-2022,0
Inflation rate searches in Lebanon,28-08-2022,0
Inflation rate searches in Lebanon,04-09-2022,0
Inflation rate searches in Lebanon,11-09-2022,0
Inflation rate searches in Lebanon,18-09-2022,41
Inflation rate searches in Lebanon,25-09-2022,0
Inflation rate searches in Lebanon,02-10-2022,0
Inflation rate searches in Lebanon,09-10-2022,0
Inflation rate searches in Lebanon,16-10-2022,0
Inflation rate searches in Lebanon,23-10-2022,0
Inflation rate searches in Lebanon,30-10-2022,71
Inflation rate searches in Lebanon,06-11-2022,0
Inflation rate searches in Lebanon,13-11-2022,0
Inflation rate searches in Lebanon,20-11-2022,0
